Rewards 	Actor Loss	Criti_1 Loss	Critic_2 Loss
-19.374397	0.418139	0.000144	0.000139
-21.668449	0.461064	0.000157	0.000141
-15.981965	0.539174	0.000154	0.000139
-28.893551	0.648478	0.000251	0.000240
4.103171	0.672249	0.000281	0.000313
4.173929	0.725873	0.000553	0.000679
5.397895	0.706759	0.001341	0.001721
-16.313018	0.699594	0.105686	0.108795
6.608262	0.722083	0.004591	0.004975
6.363366	0.728215	0.118521	0.119135
6.196758	0.797755	0.002080	0.043469
6.419303	0.704670	0.309308	0.343068
6.516399	0.889752	0.373573	0.292027
6.222817	0.739504	0.215058	0.134160
6.398865	0.706348	0.253718	0.375368
6.435293	0.901644	0.006848	0.001667
4.949859	0.781266	0.148413	0.239796
4.923619	0.742726	0.339219	0.328936
6.694264	0.801241	0.454824	0.499200
4.878960	0.860035	0.420113	0.681607
4.925468	0.730531	0.534986	0.625669
6.617083	0.947373	0.459607	0.725244
4.617664	0.873465	0.324548	0.594580
6.186735	0.927728	0.224182	0.565405
0.667887	0.812471	0.615663	0.535756
0.326708	0.916632	0.356767	0.265326
6.408538	0.870112	0.124788	0.123495
-5.654245	0.974603	0.333298	0.366553
6.697840	0.875416	0.687892	0.716246
6.647586	1.019082	0.593284	0.575703
6.441941	0.949551	1.040028	0.966620
6.722577	0.874087	0.775838	0.836701
6.734642	1.068716	0.316492	0.334150
5.167937	1.067007	0.407027	0.547513
6.667374	0.896971	0.596389	0.528337
6.561573	1.006270	0.751028	0.919566
6.747794	0.892158	0.471545	0.430041
6.734753	0.979114	0.346457	0.384662
6.666527	0.941839	0.227467	0.237927
6.769759	1.112226	0.489165	0.784130
5.003673	0.743416	0.352438	0.619392
6.810976	0.770333	0.442907	0.633420
0.043774	0.786905	0.317291	0.497867
5.130660	0.839086	0.263293	0.623204
6.662571	0.937028	0.476240	1.688898
5.141175	1.097310	0.287900	0.327385
5.020038	0.778802	0.460273	0.424603
6.681573	1.052624	0.870855	1.902954
6.666320	0.988023	0.350150	1.394217
6.738996	1.056456	0.749485	0.900549
6.546828	0.971976	0.438866	1.407874
6.601246	0.937626	0.369098	1.080690
5.097223	0.996006	0.066077	0.667435
6.696149	1.050569	0.805549	1.003102
5.068154	1.056742	1.250104	0.780202
4.947699	1.142268	1.482634	0.705702
6.615053	1.150525	1.452279	0.590569
6.599699	1.127806	1.182328	0.657628
6.697964	1.184949	2.012141	1.631049
4.990446	1.076260	0.928863	0.331554
6.626252	1.152015	0.637254	0.468117
6.811082	0.676787	0.462923	0.510577
6.882555	0.689168	0.354153	0.377752
5.209505	1.109912	1.471739	0.778071
6.825978	0.999273	0.679079	0.763636
6.790228	0.822687	0.302562	0.399395
6.786587	1.228532	0.753050	0.705750
5.223340	0.918396	0.750548	0.452793
5.125893	0.878355	0.463740	0.366717
6.793947	1.145455	0.226628	0.128407
6.934346	1.099030	0.410699	0.373599
6.818120	0.978737	0.617488	0.686963
6.703667	1.005598	0.386732	0.259919
0.574765	1.212313	0.303358	0.398259
4.921068	1.080458	0.331331	0.625811
6.638133	1.391635	0.483864	1.468603
6.596875	1.146993	0.272022	0.226519
6.808640	1.488963	0.748873	0.379322
6.810069	1.290796	1.162171	0.139989
6.869317	1.157190	0.688856	0.182341
5.113352	0.993913	0.521523	0.750994
6.771417	1.544173	0.481049	0.989617
6.912203	1.345712	0.675482	0.266743
6.793114	1.399406	0.259588	0.119174
5.148088	1.108764	0.206323	0.218133
6.791428	1.132876	0.211856	0.187775
6.662176	1.058753	0.127189	0.187329
6.736473	1.295949	0.210898	0.164894
6.789960	1.156066	0.254294	0.725507
6.950121	0.993148	0.109054	0.111150
6.737407	1.104212	0.048697	0.048259
6.744553	1.097427	0.102144	0.064526
6.782305	1.322385	0.057020	0.059217
6.817519	1.103273	0.018667	0.036326
0.394443	1.203225	0.145690	0.063203
0.222205	1.291172	0.037126	0.049413
-6.006274	1.138789	0.079643	0.051441
3.423335	1.470691	0.127328	0.068533
6.626872	1.283384	0.172389	0.160980
6.867933	1.166069	0.038911	0.031473
