Rewards 	Actor Loss	Criti_1 Loss	Critic_2 Loss
-9.424585	0.451073	0.000249	0.000235
-7.999579	0.484491	0.000224	0.000308
-9.439672	0.520757	0.000182	0.000198
-13.877404	0.620252	0.000793	0.000664
-20.485412	0.685290	0.000628	0.000608
-20.473027	0.785002	0.000972	0.000689
-13.592913	0.824547	0.000265	0.000718
-11.965118	0.853628	0.001834	0.001956
-16.387450	0.896110	0.001221	0.002422
-15.600326	0.986993	0.002276	0.002216
-18.169352	1.076072	0.000350	0.000398
-16.213570	1.111084	0.008203	0.008063
-14.220956	1.185821	0.011325	0.011665
-15.914072	1.260978	0.003193	0.003270
-17.304061	1.358194	0.000958	0.000576
-8.594253	1.302353	0.004526	0.005232
-12.241607	1.379814	0.002625	0.001448
-8.164596	1.474010	0.000875	0.001346
-8.588570	1.512118	0.001862	0.003142
-13.263597	1.640197	0.005179	0.009247
-18.221449	1.517167	0.003790	0.007412
-18.380227	1.612869	0.004832	0.002026
-20.349751	1.650281	0.001943	0.001874
-17.444381	1.760153	0.008049	0.005510
-17.492453	1.739492	0.002001	0.002336
-18.387353	1.838442	0.001472	0.001428
-24.364926	1.882113	0.002337	0.001567
-16.535671	2.003005	0.002406	0.002105
-15.897891	1.981508	0.001284	0.002467
-14.335170	2.107152	0.012668	0.011607
-17.664912	2.098867	0.030145	0.026972
-13.602655	2.108441	0.025827	0.028071
-20.202548	2.073521	0.016846	0.017304
-12.079058	2.214044	0.051072	0.038080
-12.287861	2.220307	0.005075	0.004168
-6.551325	2.229131	0.079077	0.074665
-3.695787	2.222596	0.021043	0.003069
-3.627883	2.302686	0.124572	0.006957
-5.931124	2.401327	0.004736	0.003932
-6.412117	2.407948	0.012271	0.011752
-3.700777	2.353205	0.002706	0.002636
-5.978553	2.541437	0.097061	0.126240
-3.174103	2.493621	0.015807	0.024170
-4.247378	2.513586	0.004049	0.003798
-8.076531	2.509271	0.007542	0.006720
-1.538668	2.380020	0.010795	0.013151
-8.374048	2.484303	0.005416	0.009518
-7.293552	2.442961	0.259296	0.026509
-4.826284	2.521785	0.026039	0.068424
-11.978307	2.474185	0.105953	0.052922
-0.324451	2.572668	0.034028	0.029476
-8.189215	2.470675	0.006110	0.098362
-7.339108	2.678800	0.015408	0.015197
-2.632234	2.695184	0.023179	0.022252
